Name,Symbol,Exchange
US Dollar Index Futures,DX,ICE
KOSPI,.KS11,KS
KOSDAQ,.KQ11,KQ
KOSPI 200,.KS200,KS
KOSPI 200 Futures,KOR200c1,KRX
KOSPI Volatility,.KSVKOSPI,KS
Dow Jones Industrial Average,.DJI,NYSE
US 30 Cash,US30,US Indexes
US Small Cap 2000,US2000,NYSE
Small Cap 2000 Cash,US2000,US Indexes
S&P 500,US500,NYSE
US 500 Cash,US500,US Indexes
Nasdaq 100,.NDX,NASDAQ
US Tech 100 Cash,USTECH,US Indexes
NASDAQ Composite,.IXIC,NASDAQ
CBOE Volatility Index,VIX,CBOE
S&P 500 VIX Futures,VX,CBOE
USD/CNY - US Dollar Chinese Yuan,USD/CNY - US Dollar Chinese Yuan,FX
USD/GBP - US Dollar British Pound,USD/GBP - US Dollar British Pound,FX
USD/EUR - US Dollar Euro,USD/EUR - US Dollar Euro,FX
USD/JPY - US Dollar Japanese Yen,USD/JPY - US Dollar Japanese Yen,FX
USD/CHF - US Dollar Swiss Franc,USD/CHF - US Dollar Swiss Franc,FX
USD/SEK - US Dollar Swedish Krona,USD/SEK - US Dollar Swedish Krona,FX
USD/CAD - US Dollar Canadian Dollar,USD/CAD - US Dollar Canadian Dollar,FX
USD/AUD - US Dollar Australian Dollar,USD/AUD - US Dollar Australian Dollar,FX
USD/HKD - US Dollar Hong Kong Dollar,USD/HKD - US Dollar Hong Kong Dollar,FX
USD/SGD - US Dollar Singapore Dollar,USD/SGD - US Dollar Singapore Dollar,FX
USD/QAR - US Dollar Qatari Riyal,USD/QAR - US Dollar Qatari Riyal,FX
USD/HUF - US Dollar Hungarian Forint,USD/HUF - US Dollar Hungarian Forint,FX
USD/NOK - US Dollar Norwegian Krone,USD/NOK - US Dollar Norwegian Krone,FX
USD/ZAR - US Dollar South African Rand,USD/ZAR - US Dollar South African Rand,FX
USD/XPF - US Dollar French Pacific Franc,USD/XPF - US Dollar French Pacific Franc,FX
USD/PLN - US Dollar Polish Zloty,USD/PLN - US Dollar Polish Zloty,FX
USD/ILS - US Dollar Israeli Shekel,USD/ILS - US Dollar Israeli Shekel,FX
USD/TRY - US Dollar Turkish Lira,USD/TRY - US Dollar Turkish Lira,FX
USD/THB - US Dollar Thai Baht,USD/THB - US Dollar Thai Baht,FX
USD/RUB - US Dollar Russian Ruble,USD/RUB - US Dollar Russian Ruble,FX
USD/IDR - US Dollar Indonesian Rupiah,USD/IDR - US Dollar Indonesian Rupiah,FX
USD/INR - US Dollar Indian Rupee,USD/INR - US Dollar Indian Rupee,FX
USD/BRL - US Dollar Brazil Real,USD/BRL - US Dollar Brazil Real,FX
USD/KRW - US Dollar Korean Won,USD/KRW - US Dollar Korean Won,FX
